,scenario,version,library,input,time,# independent functions,time in ms
53,natPar32,sequential,list_sum,10,492.19072610139847,32,492.19072610139847
54,natPar32,sequential,list_sum,10,539.9616807699203,32,539.9616807699203
55,natPar32,sequential,list_sum,10,491.3619887083769,32,491.3619887083769
56,natPar32,sequential,list_sum,10,491.9156674295664,32,491.9156674295664
57,natPar32,sequential,list_sum,10,491.5757644921541,32,491.5757644921541
58,natPar32,sequential,list_sum,10,498.6106287688017,32,498.6106287688017
59,natPar32,sequential,list_sum,10,494.4946523755789,32,494.4946523755789
60,natPar32,sequential,list_io,10,475.35592690110207,32,475.35592690110207
61,natPar32,sequential,list_io,10,443.144716322422,32,443.144716322422
62,natPar32,sequential,list_io,10,443.7509588897228,32,443.7509588897228
63,natPar32,sequential,list_io,10,442.8829792886973,32,442.8829792886973
64,natPar32,sequential,list_io,10,442.7760522812605,32,442.7760522812605
65,natPar32,sequential,list_io,10,492.11589619517326,32,492.11589619517326
66,natPar32,sequential,list_io,10,443.4022083878517,32,443.4022083878517
67,natPar32,sequential,list_io,10,444.1871736198664,32,444.1871736198664
68,natPar32,sequential,list_io,10,443.703968077898,32,443.703968077898
69,natPar32,sequential,list_io,10,443.53504851460457,32,443.53504851460457
70,natPar32,sequential,list_io,10,443.65219213068485,32,443.65219213068485
71,natPar32,sequential,list_io,10,443.5864612460136,32,443.5864612460136
72,natPar32,sequential,list_io,10,443.39243322610855,32,443.39243322610855
73,natPar32,sequential,list_io,10,443.7568057328463,32,443.7568057328463
74,natPar32,sequential,list_io,10,444.9404496699572,32,444.9404496699572
75,natPar32,sequential,list_io,10,443.2773645967245,32,443.2773645967245
76,natPar32,sequential,list_io,10,443.0626388639212,32,443.0626388639212
77,natPar32,sequential,list_io,10,443.9161010086536,32,443.9161010086536
78,natPar32,sequential,list_io,10,444.61282156407833,32,444.61282156407833
79,natPar32,sequential,list_io,10,443.3942809700966,32,443.3942809700966
80,natPar32,sequential,list_io,10,442.9644141346216,32,442.9644141346216
81,natPar32,sequential,list_io,10,443.2229921221733,32,443.2229921221733
82,natPar32,sequential,list_io,10,443.4156846255064,32,443.4156846255064
83,natPar32,sequential,list_io,10,443.3796871453524,32,443.3796871453524
84,natPar32,sequential,list_io,10,492.6816318184137,32,492.6816318184137
85,natPar32,sequential,list_io,10,443.6581246554852,32,443.6581246554852
86,natPar32,sequential,list_io,10,444.3206191062927,32,444.3206191062927
87,natPar32,sequential,list_io,10,443.15407797694206,32,443.15407797694206
88,natPar32,sequential,list_io,10,443.412858992815,32,443.412858992815
89,natPar32,sequential,list_io,10,442.8781270980835,32,442.8781270980835
90,natPar32,sequential,pass,10,0.0221040099859237,32,0.0221040099859237
91,natPar32,sequential,pass,10,0.0099744647741317,32,0.0099744647741317
92,natPar32,sequential,pass,10,0.0090524554252624,32,0.0090524554252624
93,natPar32,sequential,pass,10,0.0090207904577255,32,0.0090207904577255
94,natPar32,sequential,pass,10,0.0088661909103393,32,0.0088661909103393
95,natPar32,sequential,pass,10,0.0086668878793716,32,0.0086668878793716
96,natPar32,sequential,pass,10,0.0089555978775024,32,0.0089555978775024
97,natPar32,sequential,pass,10,0.0087637454271316,32,0.0087637454271316
98,natPar32,sequential,pass,10,0.0088065862655639,32,0.0088065862655639
99,natPar32,sequential,pass,10,0.0087544322013854,32,0.0087544322013854
100,natPar32,sequential,pass,10,0.0086762011051177,32,0.0086762011051177
101,natPar32,sequential,pass,10,0.008871778845787,32,0.008871778845787
102,natPar32,sequential,pass,10,0.0088270753622055,32,0.0088270753622055
103,natPar32,sequential,pass,10,0.0087711960077285,32,0.0087711960077285
104,natPar32,sequential,pass,10,0.0087115913629531,32,0.0087115913629531
105,natPar32,sequential,pass,10,0.0087488442659378,32,0.0087488442659378
106,natPar32,sequential,pass,10,0.0087469816207885,32,0.0087469816207885
107,natPar32,sequential,pass,10,0.0087246298789978,32,0.0087246298789978
108,natPar32,sequential,pass,10,0.0087972730398178,32,0.0087972730398178
109,natPar32,sequential,pass,10,0.0087320804595947,32,0.0087320804595947
110,natPar32,sequential,pass,10,0.0088438391685485,32,0.0088438391685485
111,natPar32,sequential,pass,10,0.0087395310401916,32,0.0087395310401916
112,natPar32,sequential,pass,10,0.0086966902017593,32,0.0086966902017593
113,natPar32,sequential,pass,10,0.0087041407823562,32,0.0087041407823562
114,natPar32,sequential,pass,10,0.0086985528469085,32,0.0086985528469085
115,natPar32,sequential,pass,10,0.0086743384599685,32,0.0086743384599685
116,natPar32,sequential,pass,10,0.0089555978775024,32,0.0089555978775024
117,natPar32,sequential,pass,10,0.0087451189756393,32,0.0087451189756393
118,natPar32,sequential,pass,10,0.0087656080722808,32,0.0087656080722808
119,natPar32,sequential,pass,10,0.0087413936853408,32,0.0087413936853408
120,natPar32,compiled,lists,10,99.1369877010584,32,99.1369877010584
121,natPar32,compiled,lists,10,101.33522003889084,32,101.33522003889084
122,natPar32,compiled,lists,10,108.11408795416357,32,108.11408795416357
123,natPar32,compiled,lists,10,98.59189949929714,32,98.59189949929714
124,natPar32,compiled,lists,10,102.33968123793602,32,102.33968123793602
125,natPar32,compiled,lists,10,109.4041969627142,32,109.4041969627142
126,natPar32,compiled,lists,10,106.24703206121922,32,106.24703206121922
127,natPar32,compiled,lists,10,110.63715070486067,32,110.63715070486067
128,natPar32,compiled,lists,10,102.41483710706234,32,102.41483710706234
129,natPar32,compiled,lists,10,106.06598481535912,32,106.06598481535912
130,natPar32,compiled,lists,10,108.48702117800713,32,108.48702117800713
131,natPar32,compiled,lists,10,105.67825473845004,32,105.67825473845004
132,natPar32,compiled,lists,10,105.70378042757513,32,105.70378042757513
133,natPar32,compiled,lists,10,108.31858403980732,32,108.31858403980732
134,natPar32,compiled,lists,10,107.82508365809916,32,107.82508365809916
135,natPar32,compiled,lists,10,114.18894678354263,32,114.18894678354263
136,natPar32,compiled,lists,10,109.47063751518726,32,109.47063751518726
137,natPar32,compiled,lists,10,105.22975586354733,32,105.22975586354733
138,natPar32,compiled,lists,10,109.46898721158504,32,109.46898721158504
139,natPar32,compiled,lists,10,108.90665091574192,32,108.90665091574192
140,natPar32,compiled,lists,10,111.6719115525484,32,111.6719115525484
141,natPar32,compiled,lists,10,108.39303210377692,32,108.39303210377692
142,natPar32,compiled,lists,10,105.11412844061852,32,105.11412844061852
143,natPar32,compiled,lists,10,112.87951655685902,32,112.87951655685902
144,natPar32,compiled,lists,10,110.93283258378506,32,110.93283258378506
145,natPar32,compiled,lists,10,104.01324182748796,32,104.01324182748796
146,natPar32,compiled,lists,10,111.01084202528,32,111.01084202528
147,natPar32,compiled,lists,10,104.09295372664928,32,104.09295372664928
148,natPar32,compiled,lists,10,108.42855647206306,32,108.42855647206306
149,natPar32,compiled,lists,10,106.58644698560238,32,106.58644698560238
150,natPar32,compiled,list_sum,10,91.51755273342133,32,91.51755273342133
151,natPar32,compiled,list_sum,10,92.63144992291927,32,92.63144992291927
152,natPar32,compiled,list_sum,10,100.63190385699272,32,100.63190385699272
153,natPar32,compiled,list_sum,10,95.59495374560356,32,95.59495374560356
154,natPar32,compiled,list_sum,10,89.60452489554882,32,89.60452489554882
155,natPar32,compiled,list_sum,10,89.40516039729118,32,89.40516039729118
156,natPar32,compiled,list_sum,10,91.220922768116,32,91.220922768116
157,natPar32,compiled,list_sum,10,92.99490042030811,32,92.99490042030811
158,natPar32,compiled,list_sum,10,95.79628333449364,32,95.79628333449364
159,natPar32,compiled,list_sum,10,87.59523928165436,32,87.59523928165436
160,natPar32,compiled,list_sum,10,90.02721309661865,32,90.02721309661865
161,natPar32,compiled,list_sum,10,93.14321912825108,32,93.14321912825108
162,natPar32,compiled,list_sum,10,88.73864449560642,32,88.73864449560642
163,natPar32,compiled,list_sum,10,99.65669922530653,32,99.65669922530653
164,natPar32,compiled,list_sum,10,98.14654476940632,32,98.14654476940632
165,natPar32,compiled,list_sum,10,102.5670189410448,32,102.5670189410448
166,natPar32,compiled,list_sum,10,108.71402360498904,32,108.71402360498904
167,natPar32,compiled,list_sum,10,94.61845085024834,32,94.61845085024834
168,natPar32,compiled,list_sum,10,94.63525749742983,32,94.63525749742983
169,natPar32,compiled,list_sum,10,93.0603239685297,32,93.0603239685297
170,natPar32,compiled,list_sum,10,91.5997140109539,32,91.5997140109539
171,natPar32,compiled,list_sum,10,99.09702837467194,32,99.09702837467194
172,natPar32,compiled,list_sum,10,90.97101725637911,32,90.97101725637911
173,natPar32,compiled,list_sum,10,88.85699696838856,32,88.85699696838856
174,natPar32,compiled,list_sum,10,97.28043153882028,32,97.28043153882028
175,natPar32,compiled,list_sum,10,96.75967507064342,32,96.75967507064342
176,natPar32,compiled,list_sum,10,94.09191645681858,32,94.09191645681858
177,natPar32,compiled,list_sum,10,98.21457974612711,32,98.21457974612711
178,natPar32,compiled,list_sum,10,93.77649240195753,32,93.77649240195753
179,natPar32,compiled,list_sum,10,93.73519010841846,32,93.73519010841846
180,natPar32,compiled,list_io,10,87.52843737602234,32,87.52843737602234
181,natPar32,compiled,list_io,10,89.55111168324947,32,89.55111168324947
182,natPar32,compiled,list_io,10,92.16280467808248,32,92.16280467808248
183,natPar32,compiled,list_io,10,86.90064214169979,32,86.90064214169979
184,natPar32,compiled,list_io,10,88.96549791097641,32,88.96549791097641
185,natPar32,compiled,list_io,10,90.18847905099392,32,90.18847905099392
186,natPar32,compiled,list_io,10,92.53225475549698,32,92.53225475549698
187,natPar32,compiled,list_io,10,84.4426117837429,32,84.4426117837429
188,natPar32,compiled,list_io,10,94.7039034217596,32,94.7039034217596
189,natPar32,compiled,list_io,10,84.50202830135822,32,84.50202830135822
190,natPar32,compiled,list_io,10,84.15956795215607,32,84.15956795215607
191,natPar32,compiled,list_io,10,89.51776288449764,32,89.51776288449764
192,natPar32,compiled,list_io,10,91.252276673913,32,91.252276673913
193,natPar32,compiled,list_io,10,93.88784132897854,32,93.88784132897854
194,natPar32,compiled,list_io,10,84.35963653028011,32,84.35963653028011
195,natPar32,compiled,list_io,10,86.58506721258163,32,86.58506721258163
196,natPar32,compiled,list_io,10,93.2123437523842,32,93.2123437523842
197,natPar32,compiled,list_io,10,87.16541342437267,32,87.16541342437267
198,natPar32,compiled,list_io,10,95.5251194536686,32,95.5251194536686
199,natPar32,compiled,list_io,10,96.76308929920197,32,96.76308929920197
200,natPar32,compiled,list_io,10,87.03561127185822,32,87.03561127185822
201,natPar32,compiled,list_io,10,86.26830577850342,32,86.26830577850342
202,natPar32,compiled,list_io,10,87.7852514386177,32,87.7852514386177
203,natPar32,compiled,list_io,10,85.78995801508427,32,85.78995801508427
204,natPar32,compiled,list_io,10,86.96695044636726,32,86.96695044636726
205,natPar32,compiled,list_io,10,90.53527005016804,32,90.53527005016804
206,natPar32,compiled,list_io,10,91.8835625052452,32,91.8835625052452
207,natPar32,compiled,list_io,10,89.57197330892086,32,89.57197330892086
208,natPar32,compiled,list_io,10,85.91725677251816,32,85.91725677251816
209,natPar32,compiled,list_io,10,82.30072446167469,32,82.30072446167469
210,natPar32,compiled,pass,10,52.71426402032375,32,52.71426402032375
211,natPar32,compiled,pass,10,67.86014139652252,32,67.86014139652252
212,natPar32,compiled,pass,10,62.12213821709156,32,62.12213821709156
213,natPar32,compiled,pass,10,57.91230313479901,32,57.91230313479901
214,natPar32,compiled,pass,10,58.930519968271255,32,58.930519968271255
215,natPar32,compiled,pass,10,65.43623842298985,32,65.43623842298985
216,natPar32,compiled,pass,10,63.19125555455685,32,63.19125555455685
217,natPar32,compiled,pass,10,63.96546587347984,32,63.96546587347984
218,natPar32,compiled,pass,10,57.117948308587074,32,57.117948308587074
219,natPar32,compiled,pass,10,64.87911194562912,32,64.87911194562912
220,natPar32,compiled,pass,10,63.40131908655167,32,63.40131908655167
221,natPar32,compiled,pass,10,62.65190802514553,32,62.65190802514553
222,natPar32,compiled,pass,10,58.96440334618092,32,58.96440334618092
223,natPar32,compiled,pass,10,63.32337483763695,32,63.32337483763695
224,natPar32,compiled,pass,10,57.82530829310417,32,57.82530829310417
225,natPar32,compiled,pass,10,56.357087567448616,32,56.357087567448616
226,natPar32,compiled,pass,10,61.09184771776199,32,61.09184771776199
227,natPar32,compiled,pass,10,83.6557075381279,32,83.6557075381279
228,natPar32,compiled,pass,10,60.692816972732544,32,60.692816972732544
229,natPar32,compiled,pass,10,62.91601248085499,32,62.91601248085499
230,natPar32,compiled,pass,10,58.115029707551,32,58.115029707551
231,natPar32,compiled,pass,10,61.17728725075722,32,61.17728725075722
232,natPar32,compiled,pass,10,61.347655951976776,32,61.347655951976776
233,natPar32,compiled,pass,10,63.54755535721779,32,63.54755535721779
234,natPar32,compiled,pass,10,55.56181259453297,32,55.56181259453297
235,natPar32,compiled,pass,10,62.816111370921135,32,62.816111370921135
236,natPar32,compiled,pass,10,58.43557417392731,32,58.43557417392731
237,natPar32,compiled,pass,10,103.5669632256031,32,103.5669632256031
238,natPar32,compiled,pass,10,75.85016638040543,32,75.85016638040543
239,natPar32,compiled,pass,10,64.09804336726665,32,64.09804336726665
